studentid,studentnumber,studentname,studentprogram,studentyear,hasshopaccess
1,256437285,Maddalena Twidell,AI,2,t
2,294956832,Ania Trayford,Chemical,6,f
3,258156449,Teodor Deering,Chemical,4,t
4,285423518,Aube Dunster,Software,2,t
5,284119240,Yale Charter,Software,2,f
6,273786784,June Elion,Integrated,5,t
7,254407800,Sydelle Dionisetto,Civil,1,t
8,259221115,Flossi Ager,Integrated,2,t
9,273216396,Pryce Hellin,Mechatronics,6,t
10,294972858,Ignacio Simion,AI,1,f
11,291642026,Octavia Pughe,Integrated,1,f
12,255233056,Fayina Tabram,Civil,1,f
13,250379343,Keene Bampton,Mechanical,2,f
14,274125252,Claude Luetkemeyers,Electrical,3,f
15,284088590,Kermy McGeraghty,Electrical,2,f
16,267145033,Chad Petera,AI,3,f
17,297453107,Lisha Beneteau,AI,2,t
18,268693037,Florance Diack,Chemical,5,f
19,289716699,Arlette Torrecilla,AI,2,f
20,290698796,Lucais Wadforth,Mechatronics,2,t
21,295061193,Nico Gladbeck,Mechatronics,4,t
22,268315817,Onofredo Gallifont,Integrated,5,f
23,262666345,Abran Borthe,Software,2,t
24,279574608,Jannel Klarzynski,Electrical,4,f
25,265193070,Elianora Munt,Integrated,2,f
26,295172821,Alla Icom,AI,2,f
27,269128312,Leelah Haymes,Mechatronics,5,f
28,256003647,Onfroi MacCrossan,Mechanical,2,t
29,280935971,Mickie Kobiera,Integrated,2,t
30,275337507,Lanie Vicarey,Civil,1,f
